,Features,Data,Acc,F1,Prec,Rec
0,Traditional,unimib,0.713254593175853,0.7244104364646009,0.7429335495395822,0.713254593175853
1,Autoencoder,unimib,0.8280839895013123,0.8393409203955055,0.8610061973518712,0.8280839895013123
2,NNCLR,unimib,0.7519685039370079,0.7547123178055135,0.7731965397069794,0.7519685039370079
3,SimClr,unimib,0.7755905511811023,0.781080185839619,0.8006771013621913,0.7755905511811023
