,Features,Data,# Mislabeled,Acc,P(mis),P(mis|correct),P(mis|mislabeled)
0,Traditional,unimib,146,0.49343832020997375,0.5065616797900262,0.45428156748911463,1.0
1,Autoencoder,unimib,146,0.5820209973753281,0.4179790026246719,0.3563134978229318,1.0
2,NNCLR,unimib,146,0.652230971128609,0.34776902887139105,0.27866473149492016,1.0
3,SimCLR,unimib,146,0.4862204724409449,0.5137795275590551,0.46226415094339623,1.0
