,Features,Data,# Mislabeled,Acc,P(mis),P(mis|correct),P(mis|mislabeled)
0,Traditional,unimib,90,0.5255905511811023,0.4744094488188976,0.44142259414225943,1.0
1,Autoencoder,unimib,90,0.6240157480314961,0.37598425196850394,0.3368200836820084,1.0
2,NNCLR,unimib,90,0.7703412073490814,0.22965879265091863,0.18131101813110181,1.0
3,SimCLR,unimib,90,0.676509186351706,0.32349081364829396,0.2810320781032078,1.0
